"","X0477.IgAneg","X0477.IgApos","X0477.IgGneg","X0477.IgGpos","X0477.pre","X7313.IgAneg","X7313.IgApos","X7313.IgGneg","X7313.IgGpos","X7313.pre","X9329.IgAneg","X9329.IgApos","X9329.IgGneg","X9329.IgGpos","X9329.pre","X8489.IgApos","X6095.IgApos","X6095.IgAneg","X6095.pre","X6095.IgGpos","X8489.IgAneg","X6095.IgGneg","X8489.pre","X8489.IgGpos","X8489.IgGneg","X1275.IgApos","X1275.IgAneg","X1275.pre","X9366.IgApos","X9366.IgAneg","X9366.pre","X9366.IgGpos","X9366.IgGneg","X1275.IgGpos","X1275.IgGneg","X2225.IgApos","X2225.IgAneg","X2225.pre","X2225.IgGpos","X2225.IgGneg","X4608.IgApos","X4608.IgAneg","X4608.pre","X4608.IgGpos","X4608.IgGneg","X8296.IgApos","X8296.IgAneg","X8296.pre","X8296.IgGpos","X8296.IgGneg","X3124.IgApos","X3124.IgAneg","X8531.IgApos","X8531.IgAneg","X8531.pre","X8531.IgGpos","X3124.pre","X8531.IgGneg","X3124.IgGpos","X3124.IgGneg"
"ASV21",83,162,132,35,137,152,199,170,86,104,207,1175,110,432,281,82,42,2,13,80,12,3,35,98,47,82,47,57,59,56,92,38,81,81,76,105,138,105,70,175,95,71,70,42,128,345,132,150,434,128,205,20,115,3,46,363,107,19,109,66
"ASV22",0,196,45,116,74,6,316,0,168,46,63,554,0,186,97,32,29,4,11,89,0,0,14,10,13,150,8,18,116,50,26,229,12,72,0,108,22,70,224,32,240,56,81,328,72,115,11,22,195,31,311,14,131,0,51,596,107,7,471,40
"ASV23",4,31,20,15,16,0,0,0,0,0,29,0,64,0,28,74,151,52,71,60,47,85,70,54,72,0,5,6,30,78,62,26,62,0,4,311,37,149,277,73,59,182,118,101,98,5,13,8,0,14,53,61,19,46,29,0,38,44,11,90
"ASV24",0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,277,0,0,0,0,9,0,126,605,67,1142,165,193,1018,88,115,236,140,234,172,219,101,203,53,244,0,0,0,0,0,404,3,433,603,79,228,32,432,3,129,167,90,70,66,105
"ASV25",0,2,0,10,3,0,0,0,0,0,0,0,0,0,0,75,409,12,99,547,5,9,50,76,35,8,0,0,109,168,80,38,243,0,0,338,1,105,426,13,125,1,58,17,93,637,211,419,827,291,45,4,448,91,245,234,8,268,40,5
"ASV26",0,19,0,34,0,66,119,16,244,96,177,116,81,245,169,8,1,0,1,3,3,0,4,30,0,234,69,73,16,1,7,57,0,274,71,80,33,65,173,30,78,3,39,163,16,9,5,7,32,4,26,5,9,0,1,30,13,0,54,9
"ASV27",15,208,71,90,85,66,41,38,84,60,145,8,162,48,93,34,108,151,111,90,287,151,147,29,198,20,3,7,86,54,79,62,66,21,3,151,42,85,165,64,76,140,65,56,134,74,33,30,44,46,67,106,171,27,56,307,67,51,25,86
"ASV28",26,18,33,16,26,284,131,97,506,271,63,18,78,26,42,0,27,6,7,28,0,14,0,0,0,6,7,3,170,196,167,339,192,1,1,22,11,16,19,27,58,11,32,31,36,10,15,8,67,1,40,10,134,18,58,349,23,29,37,23
"ASV29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,248,273,29,348,0,0,0,0,0,0,0,0,0,0,0,0,2,37,22,0,0,27,0,0
"ASV30",0,0,0,0,0,4,15,2,23,14,30,196,15,99,54,87,0,0,0,0,26,0,78,67,41,570,8,67,104,8,43,176,1,270,2,0,0,0,0,0,21,0,7,36,2,339,95,209,986,105,109,4,0,0,0,0,36,0,231,22
"ASV31",4275,517,4819,533,3768,0,0,0,0,0,351,315,0,968,266,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,20,9,32,0,0,0,0,0,0,0,0,0,0,0,0,36,82,43,16,72,30,0,0,0,0,0,20,0,16,9
"ASV32",101,48,91,0,50,180,195,79,233,119,259,41,174,130,194,0,59,0,22,43,0,0,0,0,0,47,13,19,20,99,96,24,104,42,11,167,0,63,144,0,27,4,14,25,24,42,32,28,0,45,89,0,32,11,11,0,26,17,43,0
"ASV33",0,0,0,0,0,0,101,0,49,12,21,113,15,43,40,0,22,2,24,22,0,0,3,13,1,60,8,15,37,28,26,41,21,47,6,66,16,57,68,36,43,6,25,54,21,8,14,7,1,14,43,3,0,0,0,0,20,0,29,8
"ASV34",0,0,0,0,0,115,99,0,470,99,0,0,0,9,0,27,108,11,31,136,35,6,27,52,12,102,43,43,132,162,166,327,208,130,66,136,45,80,158,30,63,3,27,164,0,40,21,14,26,45,60,7,129,32,66,370,22,39,35,13
"ASV35",0,0,0,0,0,52,30,48,8,56,80,330,53,193,184,61,0,0,0,0,22,0,47,104,30,58,1,6,0,0,0,0,0,23,1,0,0,0,0,0,54,0,19,102,14,0,0,0,0,0,167,4,0,0,0,0,55,0,110,29
